name,genre,year,score,votes,budget,gross,runtime
Hardcore Henry,Action,2015,6.7,90000,2000000,16810562,96
Joy,Biography,2015,6.6,131000,60000000,101134059,124
Masterminds,Biography,2015,5.8,52000,25000000,29674699,95
Brooklyn,Drama,2015,7.5,135000,11000000,62402155,117
Self/less,Action,2015,6.5,93000,26000000,31807156,117
Ted 2,Comedy,2015,6.3,191000,68000000,215863606,115
Pan,Adventure,2015,5.7,62000,150000000,128388320,111
Pixels,Action,2015,5.5,135000,88000000,244874809,105
Demolition,Comedy,2015,7,93000,10000000,4366460,101
Macbeth,Drama,2015,6.6,54000,15000000,16322067,113
Daddy's Home,Comedy,2015,6.2,112000,50000000,242786137,96
Run All Night,Action,2015,6.6,105000,50000000,71561644,114
Mr. Right,Action,2015,6.4,52000,8000000,607595,95
Magic Mike XXL,Comedy,2015,5.6,53000,14800000,117813057,115
The DUFF,Comedy,2015,6.5,87000,8500000,43709744,101
Trumbo,Biography,2015,7.5,78000,15000000,11430025,124
Hotel Transylvania 2,Animation,2015,6.7,113000,80000000,474800000,89
The Longest Ride,Drama,2015,7.1,79000,34000000,62944815,123
Victor Frankenstein,Drama,2015,6,54000,65000000,34227298,110
Insidious: Chapter 3,Horror,2015,6.1,97000,10000000,112983889,97
Goosebumps,Adventure,2015,6.3,83000,58000000,158261424,103
Aloha,Comedy,2015,5.4,64000,37000000,26250020,105
Baahubali: The Beginning,Action,2015,8,107000,18026148,24548038,159
The Wedding Ringer,Comedy,2015,6.6,72000,23000000,79799880,101
Sisters,Comedy,2015,6,64000,30000000,105011053,118
Secret in Their Eyes,Crime,2015,6.3,46000,19500000,34854990,111
Irrational Man,Comedy,2015,6.6,60000,11000000,27391084,95
Wild Card,Action,2015,5.6,53000,30000000,6738764,92
Paper Towns,Adventure,2015,6.2,98000,12000000,85512300,109
The Lady in the Van,Biography,2015,6.7,27000,6000000,41387687,104
The SpongeBob Movie: Sponge Out of Water,Animation,2015,6,51000,74000000,325186032,92
Child 44,Crime,2015,6.5,68000,50000000,12951093,137
Beasts of No Nation,Drama,2015,7.7,76000,6000000,90777,137
Me and Earl and the Dying Girl,Comedy,2015,7.7,126000,8000000,9074749,105
Concussion,Biography,2015,7.1,89000,35000000,48623572,123
The Diary of a Teenage Girl,Comedy,2015,6.9,30000,2000000,1775133,102
The Walk,Action,2015,7.3,123000,35000000,61181942,123
Tangerine,Comedy,2015,7.1,28000,100000,828874,88
A Walk in the Woods,Adventure,2015,6.4,26000,8000000,37461274,104
Sinister 2,Horror,2015,5.3,50000,10000000,53329150,97
Anomalisa,Animation,2015,7.3,68000,8000000,5659286,90
Mississippi Grind,Comedy,2015,6.4,22000,6000000,422746,108
Woman in Gold,Biography,2015,7.3,56000,11000000,61619773,109
Eddie the Eagle,Biography,2015,7.4,88000,23000000,46152800,106
Eye in the Sky,Action,2015,7.3,81000,13000000,35259653,102
The Second Best Exotic Marigold Hotel,Comedy,2015,6.6,32000,10000000,85978292,122
Poltergeist,Horror,2015,4.9,56000,35000000,95437994,93
The Meddler,Comedy,2015,6.3,12000,3200000,5425148,103
We Are Your Friends,Drama,2015,6.2,37000,2000000,11122090,96
Grandma,Comedy,2015,6.7,15000,600000,7205073,79
By the Sea,Drama,2015,5.3,19000,10000000,3334927,122
Mortdecai,Action,2015,5.5,69000,60000000,47275717,107
Project Almanac,Drama,2015,6.4,77000,12000000,33213241,106
The Man Who Knew Infinity,Biography,2015,7.2,53000,10000000,12252684,108
Z for Zachariah,Drama,2015,6,29000,7500000,381839,98
Equals,Drama,2015,6.1,29000,16000000,2084628,101
Dope,Adventure,2015,7.2,82000,7000000,17986781,103
Hot Pursuit,Action,2015,5.2,49000,35000000,51380201,87
Krampus,Comedy,2015,6.2,66000,15000000,61548707,98
The Gunman,Action,2015,5.8,40000,40000000,24177137,115
The Night Before,Comedy,2015,6.4,68000,25000000,52395996,101
90 Minutes in Heaven,Drama,2015,4.8,3500,5000000,4842699,121
Ip Man 3,Action,2015,7.1,51000,36000000,157029618,105
"McFarland, USA",Biography,2015,7.4,36000,17000000,45710059,129
The Peanuts Movie,Animation,2015,7.1,43000,99000000,246233113,88
Rock the Kasbah,Comedy,2015,5.5,11000,15000000,3394174,106
The Sea of Trees,Drama,2015,6.1,15000,25000000,906995,110
Alvin and the Chipmunks: The Road Chip,Animation,2015,5,18000,90000000,234798636,92
The Lazarus Effect,Horror,2015,5.2,42000,3300000,38356892,83
Love the Coopers,Comedy,2015,5.8,22000,17000000,42426912,107
The 33,Biography,2015,6.9,37000,26000000,27972023,127
The Little Prince,Animation,2015,7.7,58000,81200000,97571250,108
Louder Than Bombs,Drama,2015,6.6,12000,11000000,1160724,109
The Gallows,Horror,2015,4.3,20000,100000,42964410,81
Slow West,Action,2015,6.9,44000,2000000,1295574,84
Cop Car,Crime,2015,6.3,31000,800000,143658,88
Jem and the Holograms,Adventure,2015,4.2,7500,5000000,2333684,118
Captive,Action,2015,5.4,6500,2000000,2801508,97
Our Brand Is Crisis,Comedy,2015,6.1,21000,28000000,8527658,107
Unfinished Business,Comedy,2015,5.4,33000,35000000,14431253,91
Hot Tub Time Machine 2,Comedy,2015,5.1,38000,14000000,13081651,93
"Hello, My Name Is Doris",Comedy,2015,6.6,19000,1000000,14659448,90
Ricki and the Flash,Comedy,2015,5.9,23000,18000000,41325328,101
Danny Collins,Biography,2015,7,30000,10000000,10835752,106
Mr. Holmes,Drama,2015,6.9,62000,11000000,29355203,104
Paul Blart: Mall Cop 2,Action,2015,4.4,35000,30000000,107588225,94
War Room,Drama,2015,6.5,14000,3000000,73256266,120
Dragon Blade,Action,2015,6,19000,65000000,122606884,127
Mother's Day,Comedy,2016,5.7,35000,25000000,48782670,118
Suicide Squad,Action,2016,5.9,625000,175000000,746846894,123
The Magnificent Seven,Action,2016,6.9,191000,90000000,162360636,132
Captain America: Civil War,Action,2016,7.8,694000,250000000,1153337496,147
Warcraft,Action,2016,6.8,249000,160000000,439048914,123
Deadpool,Action,2016,8,932000,58000000,782836791,108
Doctor Strange,Action,2016,7.5,628000,165000000,677796076,115
Split,Horror,2016,7.3,446000,9000000,278454417,117
Me Before You,Drama,2016,7.4,220000,20000000,208314186,106
Don't Breathe,Crime,2016,7.1,235000,9900000,157830487,88
Moana,Animation,2016,7.6,289000,150000000,644411850,107
Arrival,Drama,2016,7.9,621000,47000000,203388186,116
X-Men: Apocalypse,Action,2016,6.9,404000,178000000,543934105,144
Captain Fantastic,Comedy,2016,7.9,201000,5000000,23123592,118
Star Trek Beyond,Action,2016,7,234000,185000000,343471816,122
Sing,Animation,2016,7.1,140000,75000000,634208384,108
La La Land,Comedy,2016,8,527000,30000000,448906865,128
The Conjuring 2,Horror,2016,7.3,242000,40000000,321788219,134
Passengers,Drama,2016,7,364000,110000000,303144152,116
Zootopia,Animation,2016,8,450000,150000000,1024121104,108
The Huntsman: Winter's War,Action,2016,6.1,101000,115000000,164989338,114
Hacksaw Ridge,Biography,2016,8.1,457000,40000000,180563636,139
13 Hours,Action,2016,7.3,126000,50000000,69411370,144
Nocturnal Animals,Drama,2016,7.5,248000,22500000,30311857,116
Rogue One: A Star Wars Story,Action,2016,7.8,572000,200000000,1056057720,133
Batman v Superman: Dawn of Justice,Action,2016,6.4,655000,250000000,873637528,152
Kung Fu Panda 3,Animation,2016,7.1,141000,145000000,521170825,95
The Nice Guys,Action,2016,7.4,294000,50000000,62788218,116
Independence Day: Resurgence,Action,2016,5.2,171000,165000000,389681935,120
Miss Peregrine's Home for Peculiar Children,Adventure,2016,6.7,160000,110000000,296482446,127
Fantastic Beasts and Where to Find Them,Adventure,2016,7.3,422000,180000000,814044001,132
Resident Evil: The Final Chapter,Action,2016,5.5,87000,40000000,312242626,107
Criminal,Action,2016,6.3,62000,31500000,38803993,113
Underworld: Blood Wars,Action,2016,5.8,72000,35000000,81093313,91
The Shallows,Action,2016,6.3,124000,17000000,119100758,86
Hidden Figures,Biography,2016,7.8,209000,25000000,236225193,127
Sausage Party,Animation,2016,6.1,181000,19000000,140705322,89
The Girl on the Train,Crime,2016,6.5,176000,45000000,173185859,112
Hell or High Water,Action,2016,7.6,211000,12000000,37879877,102
The Purge: Election Year,Action,2016,6,93000,10000000,118587880,108
Ghostbusters,Action,2016,6.7,209000,144000000,229147509,117
The Accountant,Action,2016,7.3,271000,44000000,155160045,128
The Neon Demon,Horror,2016,6.2,87000,7000000,3377430,117
Moonlight,Drama,2016,7.4,284000,4000000,65336603,111
Jason Bourne,Action,2016,6.6,213000,120000000,415484914,123
Manchester by the Sea,Drama,2016,7.8,257000,9000000,78988148,137
Central Intelligence,Action,2016,6.3,166000,50000000,216972543,107
War Dogs,Biography,2016,7.1,188000,40000000,86234523,114
The Legend of Tarzan,Action,2016,6.2,168000,180000000,356700357,110
Silence,Drama,2016,7.2,104000,46000000,23834809,161
Gods of Egypt,Action,2016,5.4,110000,140000000,150680864,127
The Founder,Biography,2016,7.2,134000,25000000,24121245,115
Inferno,Action,2016,6.2,165000,75000000,220021259,121
Now You See Me 2,Action,2016,6.5,260000,90000000,334897606,129
Miss Sloane,Drama,2016,7.5,68000,13000000,9101546,132
The Jungle Book,Adventure,2016,7.4,264000,175000000,966554929,106
10 Cloverfield Lane,Action,2016,7.2,300000,15000000,110216998,103
The Lost City of Z,Biography,2016,6.6,83000,30000000,19263938,141
Finding Dory,Animation,2016,7.3,250000,200000000,1028570942,97
Lion,Biography,2016,8,221000,12000000,140853810,118
Lights Out,Drama,2016,6.3,119000,4900000,148868835,81
Meet the Blacks,Comedy,2016,4.8,36000,900000,9097072,94
Allied,Action,2016,7.1,146000,85000000,119520023,124
Jack Reacher: Never Go Back,Action,2016,6.1,144000,60000000,162146076,118
Bridget Jones's Baby,Comedy,2016,6.5,71000,35000000,211952420,123
How to Be Single,Comedy,2016,6.1,83000,38000000,112343513,110
Snowden,Biography,2016,7.3,143000,40000000,37357216,134
The Bad Batch,Action,2016,5.3,28000,6000000,201890,118
Triple 9,Action,2016,6.3,69000,20000000,23177948,115
Deepwater Horizon,Action,2016,7.1,157000,110000000,121790373,107
Sully,Biography,2016,7.4,248000,60000000,240797623,96
Morgan,Action,2016,5.8,41000,8000000,8809407,92
Pride and Prejudice and Zombies,Action,2016,5.8,53000,28000000,16457494,108
The Infiltrator,Biography,2016,7,71000,28000000,21011110,127
The Edge of Seventeen,Comedy,2016,7.3,110000,9000000,19370020,104
A Cure for Wellness,Drama,2016,6.4,90000,40000000,26620002,146
London Has Fallen,Action,2016,5.9,149000,60000000,205754447,99
Dirty Grandpa,Comedy,2016,5.9,117000,25000000,94073028,102
"Hail, Caesar!",Comedy,2016,6.3,127000,22000000,63945241,106
The 5th Wave,Action,2016,5.2,103000,38000000,109906372,112
Trolls,Animation,2016,6.5,75000,125000000,346864886,92
Allegiant,Action,2016,5.7,113000,110000000,179246868,120
Paterson,Comedy,2016,7.4,74000,5000000,9588282,118
Swiss Army Man,Comedy,2016,7,109000,3000000,4935501,97
The Great Wall,Action,2016,5.9,128000,150000000,334933831,103
Mike and Dave Need Wedding Dates,Comedy,2016,6,85000,33000000,77068246,98
Bad Moms,Comedy,2016,6.2,117000,20000000,183936074,100
Collateral Beauty,Drama,2016,6.8,95000,36000000,88528280,97
The Boy,Horror,2016,6,84000,10000000,73929392,97
Fences,Drama,2016,7.2,101000,24000000,64414761,139
Alice Through the Looking Glass,Adventure,2016,6.2,98000,170000000,299820798,113
The Brothers Grimsby,Action,2016,6.2,96000,35000000,27979040,83
Ice Age: Collision Course,Animation,2016,5.7,60000,105000000,408754975,94
Patriots Day,Action,2016,7.4,96000,45000000,52185751,133
Keeping Up with the Joneses,Action,2016,5.9,60000,40000000,29918745,105
The Secret Life of Pets,Animation,2016,6.5,188000,75000000,875458631,87
Popstar: Never Stop Never Stopping,Comedy,2016,6.7,57000,20000000,9680029,87
20th Century Women,Comedy,2016,7.3,42000,7000000,7214806,119
Assassin's Creed,Action,2016,5.7,190000,125000000,240697856,115
Teenage Mutant Ninja Turtles: Out of the Shadows,Action,2016,6,87000,135000000,245623848,112
Everybody Wants Some!!,Comedy,2016,6.9,53000,10000000,4644472,117
The Take,Action,2016,6.3,40000,20000000,14857808,92
The Finest Hours,Action,2016,6.8,63000,80000000,52099090,117
Greater,Biography,2016,7.3,5300,9000000,2000620,130
The Belko Experiment,Horror,2016,6.1,46000,5000000,11084630,89
The BFG,Adventure,2016,6.4,80000,140000000,195243411,117
Zoolander 2,Action,2016,4.7,66000,50000000,56722693,101
Midnight Special,Drama,2016,6.6,77000,18000000,6740647,112
The Angry Birds Movie,Animation,2016,6.3,84000,73000000,352333929,97
Live by Night,Action,2016,6.4,54000,108000000,22678555,129
Nerve,Action,2016,6.5,120000,19000000,85251425,96
Mechanic: Resurrection,Action,2016,5.7,79000,40000000,125729635,98
The Light Between Oceans,Drama,2016,7.2,54000,20000000,25975621,133
Why Him?,Comedy,2016,6.2,104000,38000000,118102725,111
Miracles from Heaven,Biography,2016,7.1,23000,13000000,73983003,109
Colossal,Comedy,2016,6.2,61000,15000000,4531320,109
Neighbors 2: Sorority Rising,Comedy,2016,5.7,116000,35000000,108007109,92
Ben-Hur,Action,2016,5.7,43000,100000000,94061311,123
Free State of Jones,Action,2016,6.9,55000,50000000,25035950,139
Jackie,Biography,2016,6.7,75000,9000000,29777777,100
Gold,Crime,2016,6.7,60000,20000000,14880939,120
Pete's Dragon,Action,2016,6.7,55000,65000000,143695338,102
31,Horror,2016,5.1,19000,1500000,850419,102
Keanu,Action,2016,6.3,47000,15000000,20651333,100
Storks,Animation,2016,6.8,58000,70000000,183388953,87
A Monster Calls,Adventure,2016,7.5,83000,43000000,47309313,108
Kubo and the Two Strings,Animation,2016,7.8,121000,60000000,76249438,101
Café Society,Comedy,2016,6.6,73000,30000000,43763247,96
Blair Witch,Horror,2016,5,43000,5000000,45173154,89
Ratchet & Clank,Animation,2016,5.6,10000,20000000,13385737,94
Risen,Action,2016,6.3,26000,20000000,46771565,107
Rules Don't Apply,Comedy,2016,5.7,10000,25000000,3885342,127
Office Christmas Party,Comedy,2016,5.9,72000,45000000,114501299,105
Florence Foster Jenkins,Biography,2016,6.8,52000,29000000,49052787,111
Batman: The Killing Joke,Animation,2016,6.4,52000,3500000,4462034,76
Leap!,Animation,2016,6.8,21000,30000000,106127278,89
A Hologram for the King,Comedy,2016,6.1,42000,30000000,9169507,98
Ouija: Origin of Evil,Drama,2016,6.1,56000,9000000,81705746,99
All I See Is You,Drama,2016,5.4,11000,30000000,678150,109
The Forest,Horror,2016,4.8,41000,10000000,39712000,93
Money Monster,Crime,2016,6.5,96000,27000000,93282604,98
Monster Trucks,Animation,2016,5.7,16000,125000000,64493915,104
The Hollars,Comedy,2016,6.6,12000,3800000,1138609,88
Fifty Shades of Black,Comedy,2016,3.5,20000,5000000,22227514,92
My Big Fat Greek Wedding 2,Comedy,2016,6,29000,18000000,90632641,94
Billy Lynn's Long Halftime Walk,Action,2016,6.2,22000,40000000,30930984,113
Personal Shopper,Drama,2016,6.1,37000,6000000,2840408,105
Love & Friendship,Comedy,2016,6.4,24000,3000000,21401949,90
Bleed for This,Biography,2016,6.8,26000,6000000,6698679,117
Whiskey Tango Foxtrot,Biography,2016,6.6,51000,35000000,24972139,112
Loving,Biography,2016,7,33000,9000000,12957265,123
Mr. Church,Comedy,2016,7.7,27000,8000000,685780,104
Hands of Stone,Biography,2016,6.6,16000,20000000,4978353,111
Denial,Biography,2016,6.7,20000,10000000,7994527,109
Ride Along 2,Action,2016,5.9,55000,40000000,124608438,102
Rock Dog,Animation,2016,6,4900,60000000,23157646,90
Race,Biography,2016,7.1,36000,35000000,25070261,134
A United Kingdom,Biography,2016,6.9,15000,14000000,14459330,111
Incarnate,Horror,2016,5.3,12000,5000000,9037058,87
Thor: Ragnarok,Action,2017,7.9,628000,180000000,853983911,130
Darkest Hour,Biography,2017,7.4,179000,30000000,150847274,125
The Hitman's Bodyguard,Action,2017,6.9,203000,30000000,176600207,118
It,Horror,2017,7.3,478000,35000000,701796444,135
Spider-Man: Homecoming,Action,2017,7.4,540000,175000000,880166924,133
Blade Runner 2049,Action,2017,8,486000,150000000,259334548,164
Guardians of the Galaxy Vol. 2,Action,2017,7.6,596000,200000000,863756051,136
The Greatest Showman,Biography,2017,7.6,251000,84000000,438006904,105
Jumanji: Welcome to the Jungle,Action,2017,6.9,336000,90000000,962542945,119
Baywatch,Action,2017,5.5,170000,69000000,177856751,116
Home Again,Comedy,2017,5.8,30000,12000000,37270721,97
The Fate of the Furious,Action,2017,6.6,214000,250000000,1236005118,136
Get Out,Horror,2017,7.7,517000,4500000,255589157,104
Dunkirk,Action,2017,7.8,582000,100000000,527016307,106
Coco,Animation,2017,8.4,417000,175000000,807817888,105
Baby Driver,Action,2017,7.6,466000,34000000,226945087,113
The Boss Baby,Animation,2017,6.3,114000,125000000,527965936,97
Logan,Action,2017,8.1,674000,97000000,619179950,137
Wonder Woman,Action,2017,7.4,600000,149000000,822824522,141
Alien: Covenant,Horror,2017,6.4,261000,97000000,240891763,122
John Wick: Chapter 2,Action,2017,7.5,385000,40000000,171547802,122
Wonder,Drama,2017,8,150000,20000000,306209289,113
Justice League,Action,2017,6.1,418000,300000000,657926987,120
Mother!,Drama,2017,6.6,200000,30000000,44516999,121
Pirates of the Caribbean: Dead Men Tell No Tales,Action,2017,6.5,275000,230000000,794881442,129
The Shape of Water,Adventure,2017,7.3,386000,19400000,195333312,123
Disobedience,Drama,2017,6.6,27000,6000000,8003180,114
Kong: Skull Island,Action,2017,6.6,293000,185000000,566652812,118
Beauty and the Beast,Family,2017,7.1,283000,160000000,1264434525,129
Kingsman: The Golden Circle,Action,2017,6.7,286000,104000000,410902662,141
"Three Billboards Outside Ebbing, Missouri",Comedy,2017,8.1,456000,15000000,160192267,115
Star Wars: Episode VIII - The Last Jedi,Action,2017,7,581000,317000000,1332698830,152
"I, Tonya",Biography,2017,7.5,193000,11000000,53939297,119
Atomic Blonde,Action,2017,6.7,182000,30000000,100014025,115
Wind River,Crime,2017,7.7,217000,11000000,43980821,107
Murder on the Orient Express,Crime,2017,6.5,221000,55000000,352794081,114
King Arthur: Legend of the Sword,Action,2017,6.7,200000,175000000,148675066,126
Lady Bird,Comedy,2017,7.4,254000,10000000,78966486,94
Logan Lucky,Comedy,2017,7,137000,29000000,48453605,118
Fifty Shades Darker,Drama,2017,4.6,95000,55000000,381545846,118
Happy Death Day,Comedy,2017,6.6,124000,4800000,125479266,96
Transformers: The Last Knight,Action,2017,5.2,140000,217000000,605425157,154
Good Time,Crime,2017,7.4,100000,4500000,3283369,102
Ghost in the Shell,Action,2017,6.3,202000,110000000,169846945,107
Molly's Game,Biography,2017,7.4,153000,30000000,59284015,140
Hostiles,Drama,2017,7.2,76000,39000000,35669017,134
Valerian and the City of a Thousand Planets,Action,2017,6.5,168000,177200000,225973340,136
The Dark Tower,Action,2017,5.6,131000,60000000,113231078,95
Pitch Perfect 3,Comedy,2017,5.8,58000,45000000,185400345,93
American Assassin,Action,2017,6.2,75000,33000000,67234188,111
The Florida Project,Drama,2017,7.6,101000,2000000,10971298,111
Life,Horror,2017,6.6,213000,58000000,100541806,104
The Death of Stalin,Comedy,2017,7.2,92000,13000000,24646055,107
Gifted,Drama,2017,7.6,105000,7000000,43069254,101
Phantom Thread,Drama,2017,7.5,118000,35000000,47756590,130
The Upside,Comedy,2017,7,49000,37500000,125856180,126
Annabelle: Creation,Horror,2017,6.5,120000,15000000,306515884,109
American Made,Action,2017,7.2,165000,50000000,134866593,115
War for the Planet of the Apes,Action,2017,7.4,235000,150000000,490719763,140
Geostorm,Action,2017,5.3,99000,120000000,221600160,109
The Circle,Drama,2017,5.3,87000,18000000,40656399,110
Cars 3,Animation,2017,6.7,82000,175000000,383930656,102
Rough Night,Comedy,2017,5.2,49000,20000000,47347283,101
xXx: Return of Xander Cage,Action,2017,5.2,88000,85000000,346118277,107
The Mummy,Action,2017,5.4,177000,125000000,409231607,110
CHIPS,Action,2017,6,44000,25000000,26800152,100
Ferdinand,Animation,2017,6.7,51000,111000000,296069199,108
Only the Brave,Action,2017,7.6,62000,38000000,26351322,134
The Beguiled,Drama,2017,6.3,54000,10500000,27869129,93
The Glass Castle,Biography,2017,7.1,31000,9000000,22088533,127
The Lego Batman Movie,Animation,2017,7.3,135000,80000000,311950384,104
The Big Sick,Comedy,2017,7.5,126000,5000000,56411585,120
Thoroughbreds,Comedy,2017,6.7,38000,6000000,3187255,92
The Foreigner,Action,2017,7,106000,35000000,145418070,113
Jigsaw,Crime,2017,5.8,73000,10000000,102952888,92
The Snowman,Crime,2017,5.1,60000,35000000,43155261,119
The Disaster Artist,Biography,2017,7.4,143000,10000000,29820616,104
47 Meters Down,Adventure,2017,5.7,51000,5300000,62198461,89
The Post,Drama,2017,7.2,141000,50000000,180419231,116
"Everything, Everything",Drama,2017,6.4,35000,10000000,61621140,96
A Ghost Story,Drama,2017,6.9,64000,100000,1951683,92
Power Rangers,Action,2017,5.9,104000,100000000,142337240,124
All the Money in the World,Biography,2017,6.8,79000,50000000,56996304,132
Suburbicon,Comedy,2017,5.7,42000,25000000,12751667,105
It Comes at Night,Horror,2017,6.2,87000,5000000,19735344,91
Despicable Me 3,Animation,2017,6.3,119000,80000000,1034800131,89
Going in Style,Comedy,2017,6.6,79000,25000000,84918541,96
Downsizing,Drama,2017,5.7,102000,68000000,55003890,135
Before I Fall,Drama,2017,6.5,48000,5000000,16373843,98
Wonder Wheel,Drama,2017,6.2,27000,25000000,15889124,101
The Emoji Movie,Animation,2017,3.3,58000,50000000,217776646,86
Unforgettable,Drama,2017,5.1,15000,12000000,17768012,100
Paddington 2,Animation,2017,7.8,66000,40000000,227978645,103
Girls Trip,Adventure,2017,6.2,35000,19000000,140552359,122
The Space Between Us,Drama,2017,6.4,50000,30000000,16080475,120
The Mountain Between Us,Action,2017,6.4,70000,35000000,62832209,112
T2 Trainspotting,Drama,2017,7.2,117000,18000000,41681746,117
The Hero,Drama,2017,6.5,8600,1200000,4101699,96
Battle of the Sexes,Biography,2017,6.7,52000,25000000,18598607,121
The Book of Henry,Crime,2017,6.6,25000,10000000,4596705,105
Daddy's Home 2,Comedy,2017,6,65000,69000000,180613824,100
A Dog's Purpose,Adventure,2017,7.2,68000,22000000,205035819,100
The Shack,Drama,2017,6.3,32000,20000000,96942115,132
Flatliners,Drama,2017,5.2,44000,19000000,45158254,109
Rings,Drama,2017,4.5,39000,25000000,83080890,102
The Lego Ninjago Movie,Animation,2017,6,24000,70000000,123081555,101
The House,Comedy,2017,5.6,42000,40000000,34184504,88
The Zookeeper's Wife,Biography,2017,7,41000,20000000,26152835,127
Detroit,Crime,2017,7.3,50000,34000000,23355100,143
All Eyez on Me,Biography,2017,5.9,22000,40000000,55668698,139
Sleepless,Action,2017,5.6,31000,30000000,32917353,95
Tulip Fever,Drama,2017,6.2,19000,25000000,9204549,105
Stronger,Biography,2017,6.9,42000,30000000,8503658,119
Smurfs: The Lost Village,Animation,2017,6,19000,60000000,197183546,90
Snatched,Action,2017,4.5,34000,42000000,60845711,90
"Roman J. Israel, Esq.",Crime,2017,6.5,35000,22000000,13025860,122
Victoria & Abdul,Biography,2017,6.8,33000,21000000,66558465,111
Fist Fight,Comedy,2017,5.6,41000,22000000,41087017,91
How to Be a Latin Lover,Comedy,2017,6,15000,10000000,62547032,115
Same Kind of Different as Me,Biography,2017,6.6,6900,15000000,6423605,119
My Little Pony: The Movie,Animation,2017,6.1,6200,6500000,60330833,99
Table 19,Comedy,2017,5.8,27000,5000000,5042014,87
Father Figures,Comedy,2017,5.5,19000,25000000,25601244,113
Kidnap,Action,2017,5.9,35000,21000000,34814102,95
Diary of a Wimpy Kid: The Long Haul,Animation,2017,4.3,7700,22000000,40140972,91
Churchill,Biography,2017,6.1,12000,6400000,6724365,105
The Bookshop,Drama,2017,6.5,14000,5400000,12062146,113
A Bad Moms Christmas,Comedy,2017,5.6,46000,28000000,130560428,104
Captain Underpants: The First Epic Movie,Animation,2017,6.2,26000,38000000,125427681,89
Wish Upon,Drama,2017,5,19000,12000000,23468586,90
Marshall,Biography,2017,7.3,22000,12000000,10116816,118
The Resurrection of Gavin Stone,Comedy,2017,6.3,2000,2000000,2308355,91
The Bye Bye Man,Drama,2017,4.2,23000,7400000,29874280,96
A Quiet Place,Drama,2018,7.5,456000,17000000,350320413,90
Avengers: Infinity War,Action,2018,8.4,897000,321000000,2048359754,149
Deadpool 2,Action,2018,7.7,505000,110000000,786470484,119
Bohemian Rhapsody,Biography,2018,7.9,476000,52000000,911902649,134
Black Panther,Action,2018,7.3,661000,200000000,1347597973,134
Hereditary,Drama,2018,7.3,259000,10000000,80239658,127
A Simple Favor,Comedy,2018,6.8,136000,20000000,97644617,117
Aquaman,Action,2018,6.9,404000,160000000,1148485886,143
Ready Player One,Action,2018,7.4,388000,175000000,582893671,140
Spider-Man: Into the Spider-Verse,Animation,2018,8.4,411000,90000000,375540831,117
Mission: Impossible - Fallout,Action,2018,7.7,303000,178000000,791657398,147
Venom,Action,2018,6.7,387000,100000000,856085151,112
Green Book,Biography,2018,8.2,414000,23000000,321752656,130
Crazy Rich Asians,Comedy,2018,6.9,152000,30000000,238539198,120
Ant-Man and the Wasp,Action,2018,7,333000,162000000,622674139,118
BlacKkKlansman,Biography,2018,7.5,236000,15000000,93413709,135
The Predator,Action,2018,5.3,120000,88000000,160542134,107
White Boy Rick,Crime,2018,6.5,33000,29000000,25957482,111
Solo: A Star Wars Story,Action,2018,6.9,306000,275000000,392924807,135
Midnight Sun,Drama,2018,6.6,26000,2800000,27365467,91
Under the Silver Lake,Crime,2018,6.5,36000,8500000,2053469,139
Den of Thieves,Action,2018,7,99000,30000000,80509622,140
Annihilation,Adventure,2018,6.8,292000,40000000,43070915,115
Red Sparrow,Action,2018,6.6,173000,69000000,151572634,140
A Star Is Born,Drama,2018,7.6,350000,36000000,436188866,136
Mamma Mia! Here We Go Again,Comedy,2018,6.6,85000,75000000,395618157,114
Death Wish,Action,2018,6.3,67000,30000000,49562710,107
Instant Family,Comedy,2018,7.3,97000,48000000,120556201,118
Jurassic World: Fallen Kingdom,Action,2018,6.2,277000,170000000,1310466296,128
Eighth Grade,Comedy,2018,7.4,68000,2000000,14347433,93
Ocean's Eight,Action,2018,6.3,197000,70000000,297718711,110
Suspiria,Fantasy,2018,6.7,66000,20000000,7942093,152
The Favourite,Biography,2018,7.5,181000,15000000,95918706,119
The Meg,Action,2018,5.6,157000,130000000,530259473,113
Mandy,Horror,2018,6.5,68000,6000000,1555203,121
Sicario: Day of the Soldado,Action,2018,7.1,132000,35000000,75837743,122
Fifty Shades Freed,Drama,2018,4.5,59000,55000000,371987838,105
Halloween,Crime,2018,6.5,126000,10000000,255614941,106
Incredibles 2,Animation,2018,7.6,263000,200000000,1244639527,118
The First Purge,Action,2018,5.2,58000,13000000,137056262,97
Ophelia,Drama,2018,6.6,8500,12000000,242115,106
The Nun,Horror,2018,5.3,127000,22000000,365551694,96
The Equalizer 2,Action,2018,6.7,141000,62000000,190400157,121
The Commuter,Action,2018,6.3,107000,30000000,119942387,104
Game Night,Action,2018,6.9,215000,37000000,117679066,100
Tag,Action,2018,6.5,121000,28000000,78130625,100
The Hate U Give,Crime,2018,7.5,33000,23000000,34934009,133
Bad Times at the El Royale,Crime,2018,7.1,135000,32000000,31882724,141
Fantastic Beasts: The Crimes of Grindelwald,Adventure,2018,6.5,234000,200000000,654855901,134
Hunter Killer,Action,2018,6.6,58000,40000000,31676128,121
The Mule,Crime,2018,7,121000,50000000,174804407,116
Robin Hood,Action,2018,5.3,68000,100000000,86493046,116
Beautiful Boy,Biography,2018,7.3,59000,25000000,16636604,120
