name,genre,year,score,votes,budget,gross,runtime
Dark Shadows,Comedy,2012,6.2,252000,150000000,245527149,113
John Carter,Action,2012,6.6,260000,250000000,284139100,132
Battleship,Action,2012,5.8,240000,209000000,303025485,131
Magic Mike,Comedy,2012,6.1,134000,7000000,167739961,110
Hotel Transylvania,Animation,2012,7.1,232000,85000000,358375603,91
Lawless,Crime,2012,7.3,232000,26000000,55404207,116
Spring Breakers,Crime,2012,5.3,138000,5000000,32170399,94
Underworld: Awakening,Action,2012,6.3,148000,70000000,160112671,88
Piranha 3DD,Comedy,2012,3.7,41000,5000000,8518634,83
Safe House,Action,2012,6.7,211000,85000000,208076205,115
Seeking a Friend for the End of the World,Adventure,2012,6.7,109000,10000000,11681781,101
The Bourne Legacy,Action,2012,6.6,290000,125000000,276144750,135
Abraham Lincoln: Vampire Hunter,Action,2012,5.9,151000,69000000,116471580,105
Wreck-It Ralph,Animation,2012,7.7,390000,165000000,471222889,101
Total Recall,Action,2012,6.2,244000,125000000,198467168,118
Project X,Comedy,2012,6.6,193000,12000000,102731865,88
American Reunion,Comedy,2012,6.7,206000,50000000,234989584,113
Savages,Crime,2012,6.5,126000,45000000,82966152,131
Life of Pi,Adventure,2012,7.9,594000,120000000,609016565,127
Anna Karenina,Drama,2012,6.6,95000,40600000,68929150,129
Resident Evil: Retribution,Action,2012,5.4,136000,65000000,240159255,95
Men in Black 3,Action,2012,6.8,342000,225000000,624026776,106
Journey 2: The Mysterious Island,Action,2012,5.8,96000,79000000,335260290,94
Seven Psychopaths,Comedy,2012,7.2,246000,15000000,32226382,110
Rock of Ages,Comedy,2012,5.9,75000,75000000,59418613,123
The Dictator,Comedy,2012,6.4,286000,65000000,179379533,83
The Watch,Comedy,2012,5.7,123000,68000000,68267862,102
The Expendables 2,Action,2012,6.6,296000,100000000,314975955,103
Safety Not Guaranteed,Comedy,2012,7,122000,750000,4424699,86
Chronicle,Adventure,2012,7,243000,12000000,126636097,84
Red Dawn,Action,2012,5.4,74000,65000000,50950296,93
End of Watch,Action,2012,7.6,233000,7000000,55078146,109
Wrath of the Titans,Action,2012,5.7,184000,150000000,301970083,99
Mud,Drama,2012,7.4,172000,10000000,32613173,130
The Lorax,Animation,2012,6.4,102000,70000000,348840316,86
Man on a Ledge,Action,2012,6.6,147000,42000000,47636031,102
Diary of a Wimpy Kid: Dog Days,Animation,2012,6.3,23000,22000000,77229695,94
The Lucky One,Drama,2012,6.5,103000,25000000,99357138,101
Rise of the Guardians,Animation,2012,7.3,161000,145000000,306941670,97
The Iceman,Biography,2012,6.8,72000,10000000,4552970,106
Maniac,Horror,2012,6.1,36000,6000000,2631275,89
Madagascar 3: Europe's Most Wanted,Animation,2012,6.8,168000,145000000,746921274,93
The Five-Year Engagement,Comedy,2012,6.2,96000,30000000,54169363,124
House at the End of the Street,Drama,2012,5.6,74000,10000000,44287131,101
The Sessions,Biography,2012,7.2,42000,1000000,10656155,95
The Woman in Black,Drama,2012,6.4,177000,17000000,128955898,95
The Three Stooges,Comedy,2012,5.1,30000,30000000,54819301,92
Think Like a Man,Comedy,2012,6.5,45000,12000000,96070507,122
The Vow,Drama,2012,6.8,187000,30000000,196114570,104
Taken 2,Action,2012,6.3,294000,45000000,376152455,92
Compliance,Crime,2012,6.4,33000,270000,592116,90
The Company You Keep,Drama,2012,6.4,32000,2000000,20014680,125
Hit and Run,Action,2012,6.1,35000,2000000,16816647,100
Act of Valor,Action,2012,6.5,67000,12000000,82499399,110
Passion,Adventure,2012,5.3,22000,20000000,713616,102
On the Road,Adventure,2012,6.1,40000,25000000,9617377,124
Bullet to the Head,Action,2012,5.7,48000,45000000,21947209,92
LOL,Comedy,2012,4.4,54000,11000000,10578643,97
The First Time,Comedy,2012,6.8,68000,2000000,92654,95
Ice Age: Continental Drift,Animation,2012,6.5,197000,95000000,877244782,88
No One Lives,Horror,2012,6,20000,2900000,1048704,86
Mirror Mirror,Adventure,2012,5.6,85000,85000000,183018522,106
About Cherry,Drama,2012,4.8,10000,2500000,8315,98
Hitchcock,Biography,2012,6.8,73000,15700000,27039669,98
The Lords of Salem,Horror,2012,5.2,28000,1500000,1544989,101
Step Up Revolution,Drama,2012,6.4,55000,33000000,140470746,99
Ruby Sparks,Comedy,2012,7.2,97000,8000000,9368803,104
The Paperboy,Crime,2012,5.8,37000,12500000,3783865,107
The Possession,Horror,2012,5.9,58000,14000000,85446075,92
Silent Hill: Revelation,Action,2012,5,61000,20000000,55362705,95
Safe,Action,2012,6.5,106000,30000000,41564670,94
The Brass Teapot,Comedy,2012,6.4,15000,900000,245027,101
Alex Cross,Action,2012,5.2,33000,35000000,34618867,101
Amour,Drama,2012,7.9,95000,8900000,29664140,127
What to Expect When You're Expecting,Comedy,2012,5.7,71000,40000000,84384002,110
Trouble with the Curve,Drama,2012,6.8,61000,30000000,48963137,111
Here Comes the Boom,Action,2012,6.4,87000,42000000,73100172,105
